idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
entities-1042950-3869211;pr;m;v;0;114;571.0;4;353363;;;0;0;0;1;0;;48.02501;7.08173;0;;;;;0;;;;;;;;;;;;;;cm;o;20.0;m;2023-04;68223;0000;682230000;Z;Z;6822300;68302;44;68;;;;;;;3099.68
ag681158-381115288;pr;a;v;0;69;;3;89500;;;0;0;1;1;D;212;47.74453;7.33178;Oui;;;;;0;B;;;;;;;True;;;;;;a;n;;a;2023-04;68224;0201;682240201;H;H;6822401;68701;44;68;9.99;19.0;0.092;10.0;839.0;0.093;1297.1
ag751938-381003850;pr;a;v;8;154;;4;240000;;;0;0;0;1;E;297;47.74539;7.3177;Non;8.0;;1.0;True;0;E;;;;;;;True;39.0;5448.0;Gaz;;Individuel;network;n;8.0;a;2023-04;68224;1101;682241101;H;H;6822401;68701;44;68;10.14;11.0;0.078;9.22;388.0;0.071;1558.44
orpi-1-054927E2KPNX;pr;a;v;1;87;;4;122600;;;0;1;0;1;F;252;47.74291;7.32348;Non;4.0;;1.0;True;Sud-Est;F;1978.0;;;;False;;True;73.0;3900.0;;;;a;n;;a;2023-04;68224;1101;682241101;H;H;6822401;68701;44;68;10.14;11.0;0.086;9.22;388.0;0.078;1409.2
ag060811-381507325;pr;a;v;6;89;;4;145125;;;0;1;0;1;D;159;47.74638;7.3247;Oui;8.0;;1.0;True;0;D;;1.0;;;;;True;60.0;2720.04;Gaz;;;m;n;15.0;a;2023-04;68224;1101;682241101;H;H;6822401;68701;44;68;10.14;11.0;0.075;9.22;388.0;0.068;1630.62
guy-hoquet-immo-facile-6277142;pr;a;v;0;94;;4;161700;;;0;1;0;1;D;369;47.74429;7.3211;Oui;4.0;;;True;0;D;;1.0;;;;;False;16.0;2029.46;Gaz;Radiateur;;a;n;;a;2023-04;68224;1101;682241101;H;H;6822401;68701;44;68;10.14;11.0;0.071;9.22;388.0;0.064;1720.21
iad-france-1340810;pr;a;v;4;92;;4;129000;;;0;0;0;0;D;182;47.74584;7.33017;Oui;4.0;;;True;0;E;1934.0;;;;False;;False;20.0;780.0;Gaz;Radiateur;Individuel;m;n;;a;2023-04;68224;0201;682240201;H;H;6822401;68701;44;68;9.56;12.0;0.082;9.22;388.0;0.079;1402.17
mgc-ancien-L01_0F01_071015;pr;a;v;2;87;;4;70000;;;0;0;0;0;D;169;47.74312;7.33067;Oui;;;;False;0;D;1983.0;;;;False;;False;;;Gaz;;Collectif;a;n;;a;2023-04;68224;0201;682240201;H;H;6822401;68701;44;68;9.56;12.0;0.143;9.22;388.0;0.137;804.6
hektor-MAYAIMMO2020-2575;pr;a;v;1;143;;6;577500;;;0;1;1;1;E;264;47.73807;7.34087;Oui;2.0;;2.0;True;0;E;;2.0;;;;4.0;;;3200.0;Gaz;;Individuel;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;9.45;3.0;0.028;8.61;17.0;0.026;4038.46
rodacom-5258172;pr;a;v;0;102;;4;478500;;;0;0;0;2;0;;47.73915;7.34682;Non;;;2.0;True;0;;;2.0;;;;;False;;;;;;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;9.59;27.0;0.025;9.22;388.0;0.024;4691.18
rodacom-5252345;pr;a;v;0;220;;6;1249000;;;0;0;3;0;0;;47.74092;7.34682;Non;;;;True;0;;;3.0;;;;;True;;;;;Individuel;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;9.45;3.0;0.02;8.61;17.0;0.018;5677.27
iad-france-1335526;pr;a;v;0;80;;3;152500;;;0;0;0;0;E;272;47.74;7.34317;Oui;;;;False;0;E;;;;;False;;False;60.0;2952.0;;;;m;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;10.22;58.0;0.064;10.0;839.0;0.063;1906.25
hektor-agfreyimmo-933;pr;a;v;1;76;;3;125000;;;0;0;0;1;D;176;47.7407;7.3488;Non;2.0;;;True;0;A;;1.0;;;;;;;960.0;;;Individuel;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;10.22;58.0;0.075;10.0;839.0;0.073;1644.74
rodacom-5256062;pr;a;v;0;204;;5;1006000;;;0;0;0;2;0;;47.74063;7.34668;Non;;;2.0;True;0;;;3.0;;;;;False;;;;;;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;7.5;9.0;0.018;8.57;110.0;0.021;4931.37
rodacom-5252322;pr;m;v;0;167;766.0;6;1032000;;;0;0;3;0;0;;47.74132;7.34712;Non;;;;False;0;;;;;;;;;;;;;;a;n;22.0;m;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;;;;10.46;8.0;0.02;6179.64
rodacom-5252305;pr;m;v;0;172;865.0;6;1053000;;;0;0;1;0;0;;47.74078;7.34674;Non;;;2.0;False;0;;;;;;;;;;;;;;a;n;;m;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;;;;10.46;8.0;0.02;6122.09
orpi-1-054927E2LG12;pr;a;v;2;56;;2;66316;;;0;0;0;1;F;352;47.75437;7.31532;Oui;3.0;;;True;0;D;1947.0;;;;False;;False;12.0;751.0;Électrique;;Individuel;a;n;;a;2023-04;68224;1602;682241602;H;H;6822401;68701;44;68;9.27;9.0;0.094;11.11;960.0;0.113;1184.21
hektor-lifeimmo-2031;pr;a;v;1;66;;2;81000;;;0;0;0;1;VI;;47.75534;7.31441;Oui;3.0;;;True;0;VI;1940.0;1.0;;;;;False;20.0;830.63;Gaz;Radiateur;Individuel;a;n;;a;2023-04;68224;1602;682241602;H;H;6822401;68701;44;68;9.27;9.0;0.091;11.11;960.0;0.109;1227.27
ag681542-378876045;pr;a;v;2;66;;3;94400;;;0;0;0;1;E;261;47.75649;7.32524;Oui;9.0;;;;traversant;F;;;;;;;True;467.0;1999.6;Gaz;;Individuel;a;n;;a;2023-04;68224;1602;682241602;H;H;6822401;68701;44;68;9.29;13.0;0.078;10.0;839.0;0.084;1430.3
hektor-MAYAIMMO2020-2587;pr;a;vp;0;83;;3;409500;;;0;0;0;1;G;;47.73511;7.34342;Non;2.0;;1.0;True;Sud-Ouest;C;2017.0;1.0;2.0;;;;True;19.0;2400.0;Gaz;Sol;Collectif;a;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;10.22;58.0;0.025;10.0;839.0;0.024;4933.73
ag340369-383542058;pr;a;v;3;100;;3;510000;;;0;0;0;0;NS;;47.73495;7.3461;Non;3.0;;2.0;True;0;;;;;;;;;8.0;3000.0;;Pompe à chaleur;;m;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;10.22;58.0;0.024;10.0;839.0;0.024;5100.0
safti-1-867375;pr;a;v;3;80;;5;139900;;;0;0;0;1;C;145;47.74413;7.35216;Oui;3.0;;;False;0;C;1955.0;1.0;;;False;;False;8.0;560.0;;;;m;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;7.5;9.0;0.051;8.57;110.0;0.059;1748.75
ag340369-383015333;pr;a;v;0;228;;5;1102500;;;0;0;0;0;NS;;47.73495;7.3461;Non;;;0.0;;0;;;;;;;;;8.0;3000.0;;;;m;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;7.5;9.0;0.019;8.57;110.0;0.021;4835.53
ag340369-383553317;pr;a;v;0;204;;6;966000;;;0;0;0;0;NS;;47.73495;7.3461;Non;;;2.0;;0;;;;;;;;;8.0;3000.0;;Pompe à chaleur;;m;n;;a;2023-04;68224;0701;682240701;H;H;6822401;68701;44;68;9.45;3.0;0.024;8.61;17.0;0.022;4735.29
ag671474-381052903;pr;a;v;5;61;;3;55000;;;0;1;0;1;C;132;47.75468;7.3375;Oui;5.0;;;False;0;D;;1.0;;;;;True;207.0;2022.48;Gaz;;;network;n;8.0;a;2023-04;68224;1403;682241403;H;H;6822401;68701;44;68;8.77;16.0;0.117;10.0;839.0;0.133;901.64
ag681542-383338089;pr;a;v;3;104;;5;152600;;;0;0;0;1;C;152;47.75461;7.34014;Oui;3.0;;;;traversant;C;;;;;;;;11.0;2257.74;Gaz;;Collectif;a;n;;a;2023-04;68224;1403;682241403;H;H;6822401;68701;44;68;7.88;1.0;0.064;8.57;110.0;0.07;1467.31
nexity-GB00170024;pr;a;v;3;41;;2;103500;;;0;1;0;0;C;89;47.7575;7.34912;Oui;;;;False;0;C;;;;;False;;False;;;;;;a;n;;a;2023-04;68224;0401;682240401;H;H;6822401;68701;44;68;11.74;30.0;0.056;11.11;960.0;0.053;2524.39
orpi-1-054934E2JZLH;pr;a;v;5;58;;3;99000;;;0;1;1;0;C;85;47.75824;7.35027;Oui;7.0;;;False;0;C;2013.0;1.0;;;;;True;137.0;2909.0;Gaz;Radiateur;;a;n;15.0;a;2023-04;68224;0401;682240401;H;H;6822401;68701;44;68;9.69;27.0;0.068;10.0;839.0;0.07;1706.9
immo-facile-51416346;pr;a;v;0;77;;3;84800;;;0;1;0;1;E;273;47.76161;7.34681;Oui;3.0;;;True;0;F;1960.0;1.0;;;;;False;8.0;627.18;Gaz;Radiateur;Individuel;a;n;8.0;a;2023-04;68224;0401;682240401;H;H;6822401;68701;44;68;9.69;27.0;0.106;10.0;839.0;0.109;1101.3
hektor-MAYAIMMO2020-2570;pr;a;v;0;74;;4;102000;;;0;0;0;0;E;289;47.75333;7.33838;Non;;;;;0;B;;;;;;;;;;;;;a;n;22.0;a;2023-04;68224;0403;682240403;H;H;6822401;68701;44;68;8.56;22.0;0.075;9.22;388.0;0.08;1378.38
orpi-1-054927E2F8NZ;pr;a;v;2;86;;4;180000;;;0;1;0;1;D;228;47.75285;7.34423;Oui;4.0;;1.0;True;Est-Ouest;D;1920.0;1.0;;;False;;False;5.0;1128.0;Gaz;Radiateur;Individuel;a;n;;a;2023-04;68224;0402;682240402;H;H;6822401;68701;44;68;8.45;11.0;0.048;9.22;388.0;0.053;2093.02
ag681542-378877068;pr;a;v;5;41;;2;110300;;;0;0;0;1;E;263;47.75505;7.34706;Oui;5.0;;1.0;;0;B;;;;;;;True;;;Électrique;;Individuel;a;n;;a;2023-04;68224;0402;682240402;H;H;6822401;68701;44;68;11.59;73.0;0.052;11.11;960.0;0.05;2690.24
ag681542-382851021;pr;a;v;2;62;;3;115900;;;0;0;0;1;D;167;47.7549;7.3483;Oui;6.0;;1.0;;0;B;;;;;;;True;3.0;1142.76;Électrique;;Individuel;a;n;;a;2023-04;68224;0402;682240402;H;H;6822401;68701;44;68;10.93;41.0;0.07;10.0;839.0;0.064;1869.35
hektor-3ROIIMMOBILIERE-1009;pr;a;v;0;81;;3;135000;;;0;2;0;1;C;120;47.75339;7.34785;Non;;;;True;0;;;1.0;;;;;True;;;;;;a;n;;a;2023-04;68224;0402;682240402;H;H;6822401;68701;44;68;10.93;41.0;0.079;10.0;839.0;0.072;1666.67
ag440414-383358929;pr;a;v;1;87;;4;145990;;;0;1;1;0;NS;;47.77298;7.32062;Oui;4.0;;1.0;True;0;;;;;;False;;True;16.0;2400.0;;;;m;n;;a;2023-04;68224;1703;682241703;H;H;6822401;68701;44;68;9.86;4.0;0.071;9.22;388.0;0.066;1678.05
orpi-1-054927E2NFU2;pr;a;v;2;110;;4;200000;;;0;1;0;1;E;217;47.74678;7.34072;Oui;3.0;;;True;Nord-Ouest;E;1930.0;1.0;;;False;;True;8.0;3500.0;Fioul;Radiateur;;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.96;44.0;0.059;9.22;388.0;0.061;1818.18
safti-1-883119;pr;a;v;7;147;;5;249500;;;0;0;0;1;D;185;47.74088;7.34297;Non;16.0;;;False;0;D;1974.0;1.0;;;False;;True;424.0;3722.0;;;;m;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.49;19.0;0.06;8.57;110.0;0.061;1697.28
ag671474-383095982;pr;a;v;2;164;;6;294000;;;0;1;0;1;C;127;47.74882;7.33973;Non;3.0;;;True;0;C;;2.0;;;;;True;7.0;1295.0;Gaz;;;network;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.61;5.0;0.058;8.61;17.0;0.058;1792.68
nexity-GB00165267;pr;a;v;3;101;;5;113900;;;0;0;0;0;D;183;47.74875;7.34052;Oui;;;;False;0;D;;;;;False;;True;119.0;;;;;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.49;19.0;0.09;8.57;110.0;0.091;1127.72
citya-immobilier-1273-TAPP501970;pr;a;v;3;137;;6;249000;;;0;0;0;1;C;136;47.74632;7.34259;Non;3.0;;0.0;;0;C;1950.0;;0.0;;;;False;5.0;4128.0;;Radiateur;Collectif;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.61;5.0;0.057;8.61;17.0;0.057;1817.52
ag681145-383218625;pr;a;v;0;89;;2;109500;;;0;0;0;0;D;224;47.74942;7.33994;Non;;;;;0;E;;;;;;;;;;;;;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;11.32;83.0;0.11;11.11;960.0;0.108;1230.34
ag681145-382818989;pr;a;v;0;68;;3;64500;;;0;0;0;0;D;193;47.74942;7.33994;Non;;;;;0;E;;;;;;;;;;;;;a;n;8.0;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;9.78;72.0;0.124;10.0;839.0;0.127;948.53
ag671913-380482105;pr;m;v;0;137;;5;395000;;;0;1;1;1;C;131;47.74942;7.33994;Oui;2.0;;1.0;True;0;A;;2.0;;;;;;;;Électrique;;;network;n;;m;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;;;;8.82;8.0;0.037;2883.21
ag671913-380318266;pr;a;v;3;151;;5;279000;;;0;1;1;1;D;171;47.74942;7.33994;Oui;4.0;;;True;0;D;;1.0;;;;;False;8.0;1200.0;Fioul;;;network;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.49;19.0;0.055;8.57;110.0;0.056;1847.68
rodacom-5204325;pr;a;v;0;210;;6;706200;;;0;0;1;1;C;139;47.7481;7.34213;Non;;;;True;0;C;;2.0;;;;;True;;;Gaz;;Collectif;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.61;5.0;0.031;8.61;17.0;0.031;3362.86
ag671474-380826244;pr;a;v;3;69;;2;126000;;;0;0;0;1;C;167;47.74882;7.33973;Non;3.0;;;True;0;C;;1.0;;;;;True;7.0;899.0;Gaz;;;network;n;8.0;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;11.32;83.0;0.074;11.11;960.0;0.073;1826.09
ag681110-381158875;pr;a;v;0;107;;4;189000;;;0;0;0;1;E;248;47.74942;7.33994;Oui;;;;True;0;E;;1.0;;;;;;12.0;;;;;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.96;44.0;0.061;9.22;388.0;0.063;1766.36
ag681075-381509164;pr;m;v;0;125;957.0;5;288750;;;0;1;1;1;E;272;47.74942;7.33994;Oui;1.0;;5.0;;0;E;;2.0;;;;;;;;Gaz;;Individuel;a;n;;m;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;;;;8.82;8.0;0.046;2310.0
hektor-UNI2021-1895;pr;a;v;0;24;;1;79291;;;0;0;0;0;D;204;47.74413;7.33982;Non;;;;;0;B;;;;;;;;;;;;;a;n;15.0;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;16.48;39.0;0.06;16.36;505.0;0.059;3303.79
hektor-amsignatureimmo-98;pr;a;v;3;140;;6;241500;;;0;0;0;1;0;;47.74569;7.34436;Non;3.0;;;True;0;;;1.0;;;;;False;;;Gaz;Radiateur;Collectif;a;n;;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.61;5.0;0.06;8.61;17.0;0.06;1725.0
ag681088-381819106;pr;a;v;0;75;;4;124000;;;0;0;0;1;E;251;47.74942;7.33994;Oui;;;;True;0;E;;;;;;;;8.0;;Gaz;;Individuel;a;n;15.0;a;2023-04;68224;0102;682240102;H;H;6822401;68701;44;68;8.96;44.0;0.065;9.22;388.0;0.067;1653.33
ag672210-383205161;pr;a;v;1;73;;3;99900;;;0;0;1;1;D;209;47.75945;7.32503;Oui;3.0;;;;0;B;;1.0;;;;;True;82.0;1107.0;Électrique;;Individuel;a;n;;a;2023-04;68224;1601;682241601;H;H;6822401;68701;44;68;8.81;18.0;0.077;10.0;839.0;0.088;1368.49
hektor-agence-efco-immo-2013;pr;a;v;1;53;;2;107000;;;0;0;1;0;D;222;47.75691;7.31441;Non;2.0;;;True;0;D;1970.0;1.0;;;;;;119.0;806.04;Gaz;Radiateur;Individuel;a;n;;a;2023-04;68224;1601;682241601;H;H;6822401;68701;44;68;10.89;7.0;0.065;11.11;960.0;0.066;2018.87
ag681542-380740401;pr;a;v;2;91;;3;99600;;;0;0;0;0;D;183;47.75904;7.32515;Oui;2.0;;1.0;;0;A;;;;;;;;23.0;1461.0;Électrique;;Individuel;a;n;;a;2023-04;68224;1601;682241601;H;H;6822401;68701;44;68;8.81;18.0;0.097;10.0;839.0;0.11;1094.51
safti-1-865978;pr;a;v;0;105;;5;95000;;;0;0;0;0;G;445;47.75699;7.32562;Oui;;;;False;0;F;1940.0;;;;False;;False;10.0;;Gaz;;Individuel;m;n;;a;2023-04;68224;1601;682241601;H;H;6822401;68701;44;68;;;;8.57;110.0;0.114;904.76
rodacom-5255996;pr;a;v;0;105;;4;530000;;;0;0;0;0;0;;47.73751;7.33913;Non;1.0;;;False;0;;2022.0;;;;;;False;;;;;;a;n;8.0;a;2023-04;68224;0704;682240704;H;H;6822401;68701;44;68;9.58;14.0;0.023;9.22;388.0;0.022;5047.62
nexity-GB00169724;pr;a;v;2;96;;6;98000;;;0;0;0;0;G;10;47.73652;7.33345;Oui;;;;True;0;G;;;;;False;;False;;1870.0;;;;a;n;;a;2023-04;68224;0704;682240704;H;H;6822401;68701;44;68;9.84;1.0;0.116;8.61;17.0;0.101;1020.83
ag670001-383207732;pr;a;v;1;73;;3;99900;;;0;0;1;1;D;209;47.7508;7.32494;Oui;3.0;;;;0;B;;1.0;;;;;True;82.0;1107.0;Électrique;;Individuel;a;n;;a;2023-04;68224;1203;682241203;H;H;6822401;68701;44;68;11.04;32.0;0.097;10.0;839.0;0.088;1368.49
rodacom-5264337;pr;m;v;0;230;1000.0;7;845000;;;0;0;3;0;0;;47.73846;7.33443;Non;;;;True;0;;;3.0;;;;;;;;Gaz;;Individuel;a;n;;m;2023-04;68224;0704;682240704;H;H;6822401;68701;44;68;;;;6.74;2.0;0.022;3673.91
rodacom-5268989;pr;a;v;2;67;;3;341150;;;0;1;0;1;VI;;47.73371;7.33079;Non;3.0;;1.0;False;0;VI;2021.0;1.0;;;;13.0;True;;;Gaz;;Collectif;a;n;;a;2023-04;68224;0704;682240704;H;H;6822401;68701;44;68;10.46;14.0;0.025;10.0;839.0;0.024;5091.79
mgc-380987382-C-HEI-531-101-AG2;pr;m;v;0;101;;5;369500;;;0;0;0;0;0;;47.97026;7.53943;0;;;;;Sud;;;;;;;;;;;;;;cm;o;8.0;m;2023-04;68130;0000;681300000;Z;Z;6813000;68000;44;68;7.95;1.0;0.026;7.95;1.0;0.026;3658.42
mgc-380986947-C-HEI-531-84-AG2;pr;m;v;0;84;;5;309500;;;0;0;0;1;0;;47.97026;7.53943;0;;;;;Sud;;;;;;;;;;;;;;cm;o;20.0;m;2023-04;68130;0000;681300000;Z;Z;6813000;68000;44;68;7.95;1.0;0.026;7.95;1.0;0.026;3684.52
entities-1042954-3869546;pr;m;v;0;113;561.0;4;324500;;;0;0;0;1;0;;47.96988;7.53919;0;;;;;0;;;;;;;;;;;;;;cm;o;20.0;m;2023-04;68130;0000;681300000;Z;Z;6813000;68000;44;68;;;;;;;2871.68
mgc-380984595-C-HEI-531-85-AG2;pr;m;v;0;85;;5;306500;;;0;0;0;0;0;;47.97026;7.53943;0;;;;;Ouest;;;;;;;;;;;;;;cm;o;13.0;m;2023-04;68130;0000;681300000;Z;Z;6813000;68000;44;68;7.95;1.0;0.026;7.95;1.0;0.026;3605.88
ag681494-382057840;pr;a;v;3;66;;3;98200;;;0;0;0;1;D;214;47.75393;7.33556;Non;6.0;;1.0;False;0;B;;1.0;;;;;True;;1478.0;Électrique;Radiateur;Individuel;a;n;;a;2023-04;68224;1302;682241302;H;H;6822401;68701;44;68;9.68;13.0;0.078;10.0;839.0;0.081;1487.88
hektor-3ROIIMMOBILIERE-1010;pr;a;v;4;157;;6;319000;;;0;4;0;2;0;;47.7519;7.3517;Non;4.0;;;True;0;;1970.0;3.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;;a;2023-04;68224;0601;682240601;H;H;6822401;68701;44;68;;;;8.61;17.0;0.051;2031.85
nexity-GB00169021;pr;a;v;6;110;;5;208000;;;0;1;0;0;VI;;47.75195;7.35665;Oui;;;;True;0;VI;;;;;False;;True;229.0;;;;;a;n;;a;2023-04;68224;0601;682240601;H;H;6822401;68701;44;68;9.41;1.0;0.06;8.57;110.0;0.054;1890.91
gedeon-26762444;pr;a;v;2;103;;4;129000;;;0;1;0;1;D;216;47.75443;7.35301;0;8.0;;;True;0;D;1967.0;;;;;;True;167.0;3183.0;;;Collectif;a;n;;a;2023-04;68224;0601;682240601;H;H;6822401;68701;44;68;9.56;9.0;0.092;9.22;388.0;0.088;1252.43
ag681404-381404122;pr;a;v;0;79;;4;210000;;;0;1;1;1;C;;47.75169;7.35371;Non;;;1.0;;0;C;;;;;;;True;;;;;;a;n;8.0;a;2023-04;68224;0601;682240601;H;H;6822401;68701;44;68;9.56;9.0;0.043;9.22;388.0;0.042;2658.23
immo-facile-52598611;pr;a;vp;2;77;;4;65000;;;0;0;0;1;D;213;47.75666;7.33196;Non;3.0;;;True;0;D;1930.0;1.0;;;;;False;20.0;900.0;Gaz;Radiateur;Individuel;a;n;;a;2023-04;68224;1301;682241301;H;H;6822401;68701;44;68;7.31;7.0;0.104;9.22;388.0;0.131;844.16
iad-france-1342400;pr;a;v;0;70;;4;189900;;;0;0;0;0;D;183;47.77182;7.33552;Oui;1.0;;1.0;True;0;A;1949.0;;;;False;;False;8.0;150.0;;;;m;n;15.0;a;2023-04;68224;1502;682241502;H;H;6822401;68701;44;68;;;;9.22;388.0;0.041;2712.86
ag671474-381737911;pr;a;v;0;70;;3;90000;;;0;1;0;1;D;170;47.76867;7.327;Non;4.0;;;True;0;E;;1.0;;;;;False;144.0;1752.0;Gaz;;;network;n;;a;2023-04;68224;1501;682241501;H;H;6822401;68701;44;68;10.12;6.0;0.094;10.0;839.0;0.093;1285.71
century-21-202_3377_1392;pr;a;v;0;57;;3;59000;;;0;1;0;1;G;475;47.75416;7.31177;Oui;0.0;;0.0;;0;G;1954.0;1.0;0.0;;False;;False;16.0;870.0;Gaz;Radiateur;Individuel;a;n;8.0;a;2023-04;68224;1802;682241802;H;H;6822401;68701;44;68;8.86;8.0;0.103;10.0;839.0;0.116;1035.09
ag681542-379152588;pr;a;v;6;107;;5;131900;;;0;0;0;2;D;244;47.75025;7.32961;Oui;6.0;;1.0;;0;B;;;;;;;True;3.0;1546.0;Électrique;;Individuel;a;n;;a;2023-04;68224;0302;682240302;H;H;6822401;68701;44;68;7.14;1.0;0.07;8.57;110.0;0.083;1232.71
